Name,Original Price (Rs),Discounted Price (Rs),Discount,Product URL,Image URL
TY9055 TANNY KIDS CUP O FUN SHAPES ID,2695,2156,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9055-tanny-kids-cup-o-fun-shapes-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/6923362990557_1_1d39c5ae-4272-404a-a9fb-3961ddddd35e.jpg?v=1707560880
TY9080 TANNY KIDS BATH TOY 3PC ID,2295,1836,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9080-tanny-kids-bath-toy-3pc-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488084_5aacd847-c654-4afc-9cf3-4e6623ce2427.jpg?v=1755603770
2258 WIN FUN LEARNING DRAW BOARD BASIC,7550,7550,No Discount,https://alfatah.pkhttps://alfatah.pk/products/2258-win-fun-learning-draw-board-basic,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4895038544888_2.png?v=1729757562
1142 WIN FUN RAINBOW PUP BASIC,7895,7895,No Discount,https://alfatah.pkhttps://alfatah.pk/products/1142-win-fun-rainbow-pup-basic,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4895038511422_2.png?v=1729757225
TY9056 TANNY KIDS HAPPY PHONE B/O ID,5995,4796,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9056-tanny-kids-happy-phone-b-o-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488017_6bbb61e0-9e2f-4957-9a67-346c25595f6c.jpg?v=1755603775
TY9063 TANNY KIDS ROCKING FUNNY RINGS STACKING ID,4495,3596,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9063-tanny-kids-rocking-funny-rings-stacking-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488013_dc94d604-186c-4ab4-b91a-df9d8ecc1dff.jpg?v=1755603766
TY9025 TANNY KIDS PLAYTIME POUNDING STACKER ID,6995,5596,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9025-tanny-kids-playtime-pounding-stacker-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488027-1_b7d1067b-76fd-4405-8a81-eab0db018fe9.jpg?v=1756210372
919-002A BABY PLAY GYM IR,5995,5995,No Discount,https://alfatah.pkhttps://alfatah.pk/products/919-002a-baby-play-gym-ir,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000464276.jpg?v=1748949322
TY9048 TANNY KIDS SHAPE SORTING CUBE ID,6995,5596,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9048-tanny-kids-shape-sorting-cube-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488059_5ebd4788-911d-40f6-a5ab-9fafb34f91f0.jpg?v=1755603763
TY9059 TANNY KIDS MAGIC TWIST TEATHER ID,1795,1436,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9059-tanny-kids-magic-twist-teather-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/6923362990595_1_e0ad5791-57b1-47ad-a484-e972c90d98cd.jpg?v=1707562150
TY9083 TANNY KIDS ROTATE AND FUN TOY ID,3195,2556,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9083-tanny-kids-rotate-and-fun-toy-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488085_a2dba870-5e11-4509-8965-b17206da6279.jpg?v=1755603762
TY9069 TANNY KIDS PUSH N RUN CATERPILLAR ID,4195,3356,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9069-tanny-kids-push-n-run-caterpillar-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488000_5c5aad87-f5f3-45ae-bbf7-575861b843d4.jpg?v=1755603767
CHI-5225 CHICHOOO GOAL LEAGUE,11900,11900,No Discount,https://alfatah.pkhttps://alfatah.pk/products/chi-5225-chichooo-goal-league,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000479364_41bad456-3038-4115-af6c-b0ef1fe15c9a.jpg?v=1755667690
2400 WINFUN VOICE CHANGING DINO BASIC,4095,4095,No Discount,https://alfatah.pkhttps://alfatah.pk/products/2400-winfun-voice-changing-dino-basic,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4895038524002_1_039832ec-3327-4626-bd05-16e3bd182ea1.jpg?v=1714559803
TY9054 TANNY KIDS JUMPING LADYBUG ID,3195,2556,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9054-tanny-kids-jumping-ladybug-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488016_40519354-40d4-41a9-a83e-8f0282c4da37.jpg?v=1755603770
TY9067 TANNY KIDS STACING CUPS ID,3195,2556,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9067-tanny-kids-stacing-cups-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/6923362990670_1_fb27c32f-2083-465d-9ec3-71466ad073a5.jpg?v=1707560783
TY9037 TANNY KIDS FANNY ELEPHANT JUMBO SHAPE SORTER ID,7295,5836,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9037-tanny-kids-fanny-elephant-jumbo-shape-sorter-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/6923362990373_1_41f6a85a-faea-445e-9b5b-d3db26bfe836.jpg?v=1707560799
TY9068 TANNY KIDS WATER FUN KETTLE ID,2695,2156,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9068-tanny-kids-water-fun-kettle-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000487993_9912d3ff-39e2-426c-8469-b518dc5e1126.jpg?v=1755603762
TY9072 TANNY KIDS STACKING ACTIVITY BLOCKS ID,5995,4796,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9072-tanny-kids-stacking-activity-blocks-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/6923362990724_1_bd95f601-7cf6-4564-b81b-c6128eaf2c5b.jpg?v=1707562183
12268 NXS RACERS SPEED TUNNEL,4475,4475,No Discount,https://alfatah.pkhttps://alfatah.pk/products/12268-nxs-racers-speed-tunnel,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/m04-12268-new.jpg?v=1716037722
TY9040 TANNY KIDS BABY RATTLE ID,1195,956,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9040-tanny-kids-baby-rattle-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488008-1_b0a1a99a-9f36-473e-97ba-1be605df1d57.jpg?v=1756210368
0674 WIN FUN SPIN N OWL SNAIL,5295,5295,No Discount,https://alfatah.pkhttps://alfatah.pk/products/0674-win-fun-spin-n-owl-snail,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4895038506749_1_07ee4d61-430a-4d09-9325-3be6a2a4b98f.jpg?v=1714559794
TY9078 TANNY KIDS OCEAN CUPS SHPAES ID,1795,1436,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9078-tanny-kids-ocean-cups-shpaes-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488066-1_597dda79-9817-4624-94f9-78e8c8037728.jpg?v=1756210368
TY9061 TANNY KIDS FUNNY STACKING SHAPES ID,3195,2556,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9061-tanny-kids-funny-stacking-shapes-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488023-1_a5b7d1cb-f61c-46fd-add3-bac70c98494c.jpg?v=1756210368
80017 LEPIN DRAGON DANCE,5995,5995,No Discount,https://alfatah.pkhttps://alfatah.pk/products/80017-lepin-dragon-dance,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/0080017180003_8176d6c3-1659-4dc9-a7a6-91b6363376bf.jpg?v=1715692595
TY9075 TANNY KIDS PUZZLE (SHAPES) STACKING ID,5995,4796,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9075-tanny-kids-puzzle-shapes-stacking-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488074_ec6f9b52-85fb-47a8-aae7-d490159c5f72.jpg?v=1755603766
TY9034 TANNY KIDS RAINBOW CAROUSEL SPINNER ID,6395,5116,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9034-tanny-kids-rainbow-carousel-spinner-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/6923362990342_1_b3cd2976-d3c4-42de-ae08-9b24bc40ec5c.jpg?v=1707560891
TY9047 TANNY KIDS FUNNY BALL SHAPE SORTER ID,5095,4076,20.00% OFF,https://alfatah.pkhttps://alfatah.pk/products/ty9047-tanny-kids-funny-ball-shape-sorter-id,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000488002_a1d7ab9e-2437-491c-9a7d-e52f1a23a608.jpg?v=1755603774
