name,price,main_category,sub_category,,url,image_url,discount
Onions per 250GM,Rs. 45,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/onions-per-250gm/12620422,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1689768731784.jpg,23% OFF - Weekend Deal
Potato A Quality per 250GM,Rs. 24,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-a-quality-per-250gm/12620748,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620748-0-M.jpg,16% OFF - Weekend Offer
Tomatoes Per 250GM,Rs. 35,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/tomatoes-per-250gm/12620008,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620008-0-M.jpg,17% off - weekend
Cucumber Per 250GM,Rs. 30,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/cucumber-per-250gm/12620049,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620049-0-M.jpg,22% OFF - Weekend Offer
Potato White A-Grade Per 250GM,Rs. 16,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-white-a-grade-per-250gm-/12620374,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620374-0-M.jpg,14% OFF - Weekend Offer
Spinach Per 250GM,Rs. 8,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/spinach-per-250gm-/12620266,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620266-0-M.jpg,0
Green Cabbage Per 500GM,Rs. 75,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/green-cabbage-per-500gm/12620076,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620076-0-M.jpg,20% OFF - Weekend Offer
Round Aubergines (Baingan) Per 250GM,Rs. 11,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/round-aubergines-(baingan)-per-250gm/12620307,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620307-0-M.jpg,29% OFF - Weekend Deal
Potato Premium per 250GM,Rs. 24,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-premium-per-250gm/12642461,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12642461-0-M.jpg,0
Okra (Bhindi) Per 250GM,Rs. 75,Fruits And Vegetables,Fresh Vegetables,,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/okra-(bhindi)-per-250gm-/12620219,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620219-0-M.jpg,26% OFF - Weekend Offer
