title,price,category,subcategory,image_url,url
Magic Bullet Dessert Bullet Blender,"Rs. 8,995.00",Kitchen Home Appliances,Juicers Blenders,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/6291061097076.jpg,
DSP 2-in-1 Coffee Blender White - KA3095,"Rs. 2,250.00",Kitchen Home Appliances,Juicers Blenders,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/6973773613873.jpg,
DSP Induction Cooker - KD5049,"Rs. 16,500.00",Kitchen Home Appliances,Hot Plates,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/6971324567262.jpg,
DSP Induction Cooker - KD5031,"Rs. 15,190.00",Kitchen Home Appliances,Hot Plates,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/6973773611220.jpg,
Sokany Portable Fabric Lint Remover SK-877,"Rs. 1,990.00",Kitchen Home Appliances,Ironing Laundry,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/6974824285384.jpg,
Panasonic Deluxe Automatic Iron NI-22AWTXJ,"Rs. 16,000.00",Kitchen Home Appliances,Ironing Laundry,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8887549253157.jpg,
Panasonic Dry Iron NI-22AWT,"Rs. 8,500.00",Kitchen Home Appliances,Ironing Laundry,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8887549254277.jpg,
West Point Bath Scale WF-7007,"Rs. 5,250.00",Kitchen Home Appliances,Weight Machine,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8-WS-7007.jpg,
Cambridge Parabolic Heater PH-009,"Rs. 4,490.00",Kitchen Home Appliances,Cooling Heating,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8-HT-PH009.jpg,
Woof Puppy Food-3 Kg,"Rs. 2,150.00",Pet Care,Dog Food,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8964001644880-1684410277781.jpg,
Sun Brite Sticky Hair Pet Roller,Rs. 799.00,Pet Care,Accessories,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8964004050336.jpg,
Catchcat Real Fresh Shampoo Honey & Almond-500ml,Rs. 999.00,Pet Care,Accessories,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/3525489367507-1684410788060.jpg,
Royal Gold Assorted Cat Litter-5 Kg,Rs. 495.00,Pet Care,Cat Litter,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8964000525001.jpg,
Fat Pat Value Klumpy Lemon Clumping Litter 5Ltr-5 Ltr,Rs. 375.00,Pet Care,Cat Litter,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8964000659212.jpg,
Fat Pat klumpy Green Apple Premium Cat Litter-5 Ltr,Rs. 450.00,Pet Care,Cat Litter,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8964000659144.jpg,
Catchcat Bantonite Cat Litter Mint-5 Ltr,"Rs. 1,299.00",Pet Care,Cat Litter,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/6970882710189.jpg,
Catchcat Cat Litter Orange-5 Ltr,"Rs. 1,299.00",Pet Care,Cat Litter,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/6970882710196.jpg,
Super Klumpy Lavender Litter-5 Ltr,Rs. 450.00,Pet Care,Cat Litter,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8964000659106.jpg,
Ultra Klumpy Extra Strength Fresh Scent Cat Litter-5 Ltr,Rs. 525.00,Pet Care,Cat Litter,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8964000659021.jpg,
Klumpy Clumping Cat Litter-5 Ltr,Rs. 340.00,Pet Care,Cat Litter,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8964000659199.jpg,
Super Klumpy Lavender Cat Litter-5 Ltr,Rs. 399.00,Pet Care,Cat Litter,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8964000659120.jpg,
Catchcat Natural Bentonite Lavender Scent-5 Ltr,"Rs. 1,299.00",Pet Care,Cat Litter,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/6970882710202-1684409192882.jpg,
Catchcat Apple Natural Bentonite-5 Ltr,"Rs. 1,299.00",Pet Care,Cat Litter,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/6970882710219-1684409193322.jpg,
Tommy Cat Litter-5 Ltr,Rs. 515.00,Pet Care,Cat Litter,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8666922855542-1684410040912.jpg,
Thomas Cat Litter-5 Ltr,Rs. 675.00,Pet Care,Cat Litter,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8662754883753-1684410040404.jpg,
Marvel Farm Pro Fish Food-100g,Rs. 499.00,Pet Care,Fish Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/0745178209953.jpg,
Marvel Farm Pro Fish Food-200g,Rs. 799.00,Pet Care,Fish Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/0745178209984.jpg,
Marvel Lucky Fish Food-200g,Rs. 635.00,Pet Care,Fish Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/0745178209960.jpg,
Marvel Lucky Fish Food-100g,Rs. 380.00,Pet Care,Fish Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/0745178209939.jpg,
Marvel Bulk Fish Food-200g,Rs. 799.00,Pet Care,Fish Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/0745178209977.jpg,
Fluffy Real Chicken & Fish Cat Food-400g,Rs. 280.00,Pet Care,Cat Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8964000067918.jpg,
Brit Adult Cat Food With Beef-85g,Rs. 299.00,Pet Care,Cat Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8595602570584.jpg,
Brit Premium Chicken Fillets in Gravy Cat Food-85g,Rs. 299.00,Pet Care,Cat Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8595602570652.jpg,
Pick Pure Chicken And Rice Premium Cat Food-1 Kg,"Rs. 1,150.00",Pet Care,Cat Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/726872059365.jpg,
Meaoon Persian Cat Food-1 Kg,Rs. 950.00,Pet Care,Cat Food,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8858439001066.jpg,
Meaoon Gourmet Flavour Cat Food-1 Kg,Rs. 999.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8858439001073.jpg,
Meaoon Cat Food Fresh Tuna-400g,Rs. 525.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8858439004999.jpg,
Nourvet Naturals Chicken & Brown Rice Cat Food-500g,Rs. 725.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/4001103516876.jpg,
Nourvet Gold Wild Fish & Brown Rice Cat Food-1 Kg,"Rs. 1,699.00",Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/4001103516869.jpg,
Meaoon Persian Cat Food-400g,Rs. 525.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8858439001028.jpg,
Meaoon Gourmet Cat Food-400g,Rs. 525.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8858439001035.jpg,
Meaoon Beef & Vegetable Flavour Cat Food-400g,Rs. 525.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8858439001011.jpg,
Meaoon Beef & Vegetable Cat Food-1 Kg,Rs. 950.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8858439001059.jpg,
Meaoon Chicken & Fish Cat Food-1 Kg,Rs. 950.00,Pet Care,Cat Food,https://s3.us-east-1.amazonaws.com/em-cdn.eatmubarak.pk/55545/gallery/8858439007051.jpg,
Nourvet Chicken & Brown Rice Cat Food-1 Kg,"Rs. 1,450.00",Pet Care,Cat Food,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/4001103516852-1684410845888.jpg,
Petiza Plus Prepared Chicken Cat Food-1.2 Kg,Rs. 899.00,Pet Care,Cat Food,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8964000867402-1684411072680.jpg,
Whiskas Cat Food Adult Gourmet Seafood 1+Year-480g,"Rs. 1,050.00",Pet Care,Cat Food,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8853301141840-1684411459147.jpg,
Kitty Kat Tuna and Shrimp Cat Food-500g,"Rs. 1,125.00",Pet Care,Cat Food,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/9506000014340-1684410534398.jpg,
Me-O Beef Fruit & Vegetable Adult Cat Food-450g,Rs. 899.00,Pet Care,Cat Food,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Fluffy Cat Food-1.2 Kg,Rs. 790.00,Pet Care,Cat Food,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Me-O Cat Food Chicken & Vegetable-450g,Rs. 950.00,Pet Care,Cat Food,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Me-O Cat Food Adult Mackerel-450g,Rs. 950.00,Pet Care,Cat Food,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Whiskas Poultry In Jelly Cat Food 1+ Years-85g,Rs. 240.00,Pet Care,Cat Food,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
